0,11M,99N,0
0,11M,12D,0
0,10Q,10Q,0
0,10Q,10N,0
0,10W,10W,0
0,10H,11D,0
0,10H,11C,0
0,11C,11C,0
0,09Y,09Y,0
0,08P,99H,0
0,08P,08P,0
0,07Y,08P,0
0,08C,08X,0
0,08Y,08X,0
0,09A,08K,0
0,07T,08Q,0
